name.vec;alternative;by_removal;n_removal;by_fertility;n_fertility;predation;rate;Er;Ef;Rm;ext50;Re;Erf;ETI;MTI
v2026;rp;5;75;0;0;With predation;Max;5,52;0;0,0113404400090724;1;68;5,52;39,1542003445516;0,00652979206044984
v2026;rp;5;75;0;0;With predation;Mean;4,4;0;0,0112575193651198;1;75,352;4,4;48,5294324014569;0,00725025248218591
v2026;rp;5;75;0;0;Without predation;Max;15;0;0,00347995545657016;0;0;15;0;0,000776483018333902
v2026;rp;5;75;0;0;Without predation;Mean;13,72;0;0,00910153262165074;0,494;10,28;13,72;2,60700032607225;0,0023081418786382
v2026;rp;5;100;0;0;With predation;Max;5,58;0;0,0112157918349035;1;78;5,58;44,6435047622174;0,00641938789991735
v2026;rp;5;100;0;0;With predation;Mean;4,66;0;0,0110036222898026;1;78;4,66;48,9455681556926;0,00690485313775681
v2026;rp;5;100;0;0;Without predation;Max;20;0;0,00403648986841043;0;0;20;0;0,000546279499623043
v2026;rp;5;100;0;0;Without predation;Mean;10,1;0;0,0108437891651606;0,998;52,492;10,1;19,1185826756684;0,00394951382442354
v2026;rp + f;1;12;1;12;With predation;Max;4,7;4,7;0,0112968820605513;1;60;9,4;23,4376701215113;0,00441287658561366
v2026;rp + f;1;12;1;12;With predation;Mean;3,66;3,54;0,0112282621055645;1;68,608;7,2;33,3950987769017;0,00546538191039338
v2026;rp + f;1;12;1;12;Without predation;Max;11,76;11,76;0,00342114266164899;0;0;23,52;0;0,000325619618550625
v2026;rp + f;1;12;1;12;Without predation;Mean;11,62;11,76;0,00717023177664704;0,11;1,484;23,38;0,143236401655446;0,000692074257899228
v2026;rp + f;1;25;1;25;With predation;Max;5;4,98;0,0107342206955775;1;80;9,98;29,4892749042735;0,00395680481218784
v2026;rp + f;1;25;1;25;With predation;Mean;4,32;4,7;0,0107508201416738;1;81,876;9,02;33,2217873982322;0,00436222410844838
v2026;rp + f;1;25;1;25;Without predation;Max;13,9;13,82;0,00917431192660551;1;44;27,72;2,75161946281951;0,000573732164891475
v2026;rp + f;1;25;1;25;Without predation;Mean;7,32;5,82;0,0103462546051436;1;69,74;13,14;18,7421320668281;0,00278048279619486
v2026;rp + f;1;37;1;37;With predation;Max;5,08;5,02;0,010575296108291;1;86;10,1;31,322832243151;0,00385172355722845
v2026;rp + f;1;37;1;37;With predation;Mean;4,56;4,74;0,0106094714727376;1;86,676;9,3;34,1983374001689;0,00418600633465028
v2026;rp + f;1;37;1;37;Without predation;Max;8,28;8,22;0,0102796052631579;1;76;16,5;14,5957930551773;0,0019741972514469
v2026;rp + f;1;37;1;37;Without predation;Mean;6,42;6,26;0,0104242409384088;1;81,672;12,68;22,9819982770688;0,00293331726033721
v2026;rp + f;1;50;1;50;With predation;Max;5,08;5,08;0,0105042016806723;1;88;10,16;31,8595383518269;0,00380294336705345
v2026;rp + f;1;50;1;50;With predation;Mean;4,68;4,86;0,0105408806352579;1;89,948;9,54;34,6477131733412;0,00406031717041894
v2026;rp + f;1;50;1;50;Without predation;Max;7,08;6,92;0,010366991499067;1;84;14;20,7141449710949;0,00255646862887837
v2026;rp + f;1;50;1;50;Without predation;Mean;6;5,6;0,0104178337771395;1;87,024;11,6;27,2808214051278;0,00326584692386527
v2026;rp + f;2;12;2;12;With predation;Max;4,18;4,18;0,0126135216952573;1;30;8,36;13,0032247144951;0,00546721523481967
v2026;rp + f;2;12;2;12;With predation;Mean;2,9;2,9;0,012059917748659;1;52,112;5,8;29,1774236784562;0,00675232824838727
v2026;rp + f;2;12;2;12;Without predation;Max;6;6;0,00309559187716691;0;0;12;0;0,000932374355845102
v2026;rp + f;2;12;2;12;Without predation;Mean;6;6;0,00417479317402221;0;0;12;0;0,00125742353994606
v2026;rp + f;2;25;2;25;With predation;Max;4,7;4,68;0,0112968820605513;1;62;9,38;24,2674121139724;0,00442171117042484
v2026;rp + f;2;25;2;25;With predation;Mean;3,72;3,78;0,0112151838600032;1;70,192;7,5;33,1563530699973;0,00529767773830638
v2026;rp + f;2;25;2;25;Without predation;Max;12,5;12,5;0,00345041750051756;0;0;25;0;0,00028322751578186
v2026;rp + f;2;25;2;25;Without predation;Mean;11,96;12,5;0,00798147593523945;0,314;4,452;24,46;0,385718840817966;0,000691510702101764
v2026;rp + f;2;37;2;37;With predation;Max;4,86;4,82;0,0109265734265734;1;74;9,68;28,108305251002;0,00415037109758936
