name.vec;removal_type;by_removal;n_removal;by_fertility;n_fertility;puma;tasa;Er;Ef;Rm;ext50;Re;Erf;IER;IEM
v2026;fixed;0;0;5;50;with;mean;0;8,64;0,017533887473974;0;0;8,64;0;0,00202938512430255
v2026;fixed;0;0;5;50;with;max;0;10;0,0102124183006536;0;0;10;0;0,00102124183006536
v2026;fixed;0;0;5;50;without;mean;0;10;0,00372229948818875;0;0;10;0;0,000372229948818875
v2026;fixed;0;0;5;50;without;max;0;10;0,0029605068387708;0;0;10;0;0,00029605068387708
v2026;fixed;0;0;5;75;with;mean;0;12,5;0,0177474725162087;0;0;12,5;0;0,0014197978012967
v2026;fixed;0;0;5;75;with;max;0;15;0,0105130361648444;0;0;15;0;0,000700869077656294
v2026;fixed;0;0;5;75;without;mean;0;15;0,00380615765011654;0;0;15;0;0,000253743843341103
v2026;fixed;0;0;5;75;without;max;0;15;0,00302041802585478;0;0;15;0;0,000201361201723652
v2026;fixed;0;0;5;100;with;mean;0;15,42;0,0180991108570097;0;0;15,42;0;0,00117374259773085
v2026;fixed;0;0;5;100;with;max;0;20;0,0110963160230803;0;0;20;0;0,000554815801154017
v2026;fixed;0;0;5;100;without;mean;0;20;0,00393670396591807;0;0;20;0;0,000196835198295904
v2026;fixed;0;0;5;100;without;max;0;20;0,00306842589751458;0;0;20;0;0,000153421294875729
v2026;fixed;1;12;1;12;with;mean;3,32;3,28;0,0111092034075319;1;71,3;6,6;10,8030303030303;0,00168321263750483
v2026;fixed;1;12;1;12;with;max;4,24;4,22;0,0111333778668448;1;64;8,46;7,56501182033097;0,00131600211192019
v2026;fixed;1;12;1;12;without;mean;11,02;8,4;0,00799830078085612;0,388;6,288;19,42;0,323789907312049;0,000411858948550778
v2026;fixed;1;12;1;12;without;max;11,76;11,76;0,00333800654249282;0;0;23,52;0;0,000141922046874695
v2026;fixed;1;25;1;25;with;mean;3,94;4;0,0106916002548814;1;82,296;7,94;10,3647355163728;0,00134654915048884
v2026;fixed;1;25;1;25;with;max;4,52;4,42;0,0106746370623399;1;80;8,94;8,94854586129754;0,00119403099131319
v2026;fixed;1;25;1;25;without;mean;6,5;7,22;0,0103525194901344;1;71,248;13,72;5,1930029154519;0,000754556814149737
v2026;fixed;1;25;1;25;without;max;11,06;10,78;0,00956754688097972;1;54;21,84;2,47252747252747;0,00043807449088735
v2026;fixed;1;37;1;37;with;mean;4,18;3,88;0,0105713105374368;1;86,132;8,06;10,6863523573201;0,00131157698975643
v2026;fixed;1;37;1;37;with;max;4,64;4,52;0,0105507491031863;1;84;9,16;9,17030567685589;0,00115182850471466
v2026;fixed;1;37;1;37;without;mean;5,78;5,3;0,0104244109184679;1;81,236;11,08;7,33176895306859;0,000940831310331038
